scenario,name,seed,functional_status,quality_status,reason,expected,coverage,data_mode,dataset_id,events,excluded_advisory_evidence,f1,false_alerts,gated_options,graph_f1,graph_status,labelled_records,mapped_records,median_detection_seconds,missed_events,missed_positive_records,missing_geometry,passing_options,precision,recall,seconds,sources,stale_records,supporting_pairs,test_records,vetoed_options,f1_delta,graph_f1_delta,recall_delta,coverage_delta,same_frozen_model,changed_records,labels_changed,findings,event_root,run_id
S8-1,Contradictory constraints,11,PASS,MEASURED,,Return gated or rejected options when the allowed budget is impossible.,1.0,SYNTHETIC_TEST,demo-11,2,61,1.0,0,0,1.0,MEASURED,320,320,0.0,0,0,0,0,1.0,1.0,0.14167088700014574,4,0,159,320,3,0.0,0.0,0.0,0.0,True,0,0,"[""No advisory option passes the declared envelope.""]",189698db0f18a99c92828eb3f258a9e8e92218a1e8ff17775f71be60d11ede9d,
S8-2,Instructions embedded in evidence,11,PASS,MEASURED,,Keep source text as data; the local policy remains unchanged.,1.0,SYNTHETIC_TEST,demo-11,2,61,1.0,0,0,1.0,MEASURED,320,320,0.0,0,0,0,3,1.0,1.0,0.12533978700048465,4,0,159,320,0,0.0,0.0,0.0,0.0,True,16,0,[],ff18876269b8e3cd8bfd7aea6acd09c8b97110fa9ec4d45d3af600e998bc49da,
S8-3,Incomplete scenario,11,PASS,MEASURED,,Expose missing goal/resource fields and gate the output.,1.0,SYNTHETIC_TEST,demo-11,2,61,1.0,0,3,1.0,MEASURED,320,320,0.0,0,0,0,0,1.0,1.0,0.16609574900030566,4,0,159,320,0,0.0,0.0,0.0,0.0,True,0,0,"[""No advisory option passes the declared envelope.""]",189698db0f18a99c92828eb3f258a9e8e92218a1e8ff17775f71be60d11ede9d,
S8-4,Proposal mode collapse,11,PASS,MEASURED,,Detect duplicate option envelopes and retain reviewer dissent.,1.0,SYNTHETIC_TEST,demo-11,2,61,1.0,0,2,1.0,MEASURED,320,320,0.0,0,0,0,1,1.0,1.0,0.1642880529998365,4,0,159,320,0,0.0,0.0,0.0,0.0,True,0,0,[],189698db0f18a99c92828eb3f258a9e8e92218a1e8ff17775f71be60d11ede9d,
S14-1,Mixed coordinate systems,11,PASS,DEGRADATION_OBSERVED,,Transform supported EPSG:3857 points or exclude unsupported CRS.,1.0,SYNTHETIC_TEST,demo-11,2,61,1.0,0,0,0.9573770491803278,MEASURED,320,301,0.0,0,0,19,3,1.0,1.0,0.1375633649986412,4,0,146,320,0,0.0,-0.042622950819672156,0.0,0.0,True,79,0,"[""Link-classification F1 decreased.""]",fb65a7c0b70fe88881ba400eb56b13dac2dfc6f1dbda4a08b179bbee8c214687,
S14-2,Stale source layer,11,PASS,MEASURED,,Show source age relative to the replay cutoff and stale status.,1.0,SYNTHETIC_TEST,demo-11,2,74,1.0,0,0,1.0,MEASURED,320,320,0.0,0,0,0,3,1.0,1.0,0.14538055699995311,4,80,77,320,0,0.0,0.0,0.0,0.0,True,80,0,"[""Stale map records are retained with age labels.""]",1cf3c01a57bce226dce1dabcd2c6b8925b7a6d29a0f6349181d000a570f0796d,
S14-3,Dense map labels,11,PASS,MEASURED,,Stable grouping and accessible marker details preserve readability.,1.0,SYNTHETIC_TEST,demo-11,2,61,1.0,0,0,1.0,MEASURED,320,320,0.0,0,0,0,3,1.0,1.0,0.1473287930002698,4,0,159,320,0,0.0,0.0,0.0,0.0,True,240,0,[],6b6785b82c4511c9222bb7d7dee6a321bde31a1541126d5808d4865141d99175,
F-1,Remove FCI,11,PASS,MEASURED,,Remove bioelectric observations and compare held-out quality and missingness.,1.0,SYNTHETIC_TEST,demo-11,2,61,1.0,0,0,1.0,MEASURED,320,320,0.0,0,0,0,3,1.0,1.0,0.13411102200007008,4,0,159,320,0,0.0,0.0,0.0,0.0,True,320,0,[],9495054f079d41699a3b37a1ed5c8fdc64686f01262f207f91078eb7c8329c90,
F-2,Remove Agaric imagery,11,PASS,MEASURED,,Remove the imagery source and inspect lost supporting paths.,1.0,SYNTHETIC_TEST,demo-11,2,45,1.0,0,0,1.0,MEASURED,240,240,0.0,0,0,0,3,1.0,1.0,0.15401196600032563,3,0,77,240,0,0.0,0.0,0.0,0.0,True,0,0,[],e7bd93b18ca72e4dcc694a6b43cc8913b0904984090d7400169da99c4f2ef68e,
F-3,Remove Psathyrella acoustics,11,PASS,MEASURED,,Remove acoustic evidence and inspect changed support.,1.0,SYNTHETIC_TEST,demo-11,2,45,1.0,0,0,1.0,MEASURED,240,240,0.0,0,0,0,3,1.0,1.0,0.22025193700028467,3,0,77,240,0,0.0,0.0,0.0,0.0,True,0,0,[],3946734b5511192f56cb744a7689ef5713ce020a11bef6a95772a089ea91c852,
F-4,250 ms clock offset,11,PASS,MEASURED,,Apply a declared offset and retain a clock-quality flag.,1.0,SYNTHETIC_TEST,demo-11,2,61,1.0,0,0,1.0,MEASURED,320,320,0.0,0,0,0,3,1.0,1.0,0.25408747399887943,4,0,159,320,0,0.0,0.0,0.0,0.0,True,320,0,[],60a8e0b055e174ad402e067d23b2e1518e31f4391757f7fce9a61dba892a4fcf,
F-5,Delay 5% of packets,11,PASS,MEASURED,,"Delay exactly a seeded 5% sample by 30 seconds; this is delay, not loss.",1.0,SYNTHETIC_TEST,demo-11,2,61,1.0,0,0,1.0,MEASURED,320,320,0.0,0,0,0,3,1.0,1.0,0.21720864700000675,4,0,159,320,0,0.0,0.0,0.0,0.0,True,16,0,[],b2982bfe143a03e908464ba4a6282ae10e95e321f235813e8d61270163162d3a,
F-6,Linear calibration drift,11,PASS,DEGRADATION_OBSERVED,,Apply a drift to one source; report detection degradation honestly.,1.0,SYNTHETIC_TEST,demo-11,2,63,0.9823008849557522,4,0,1.0,MEASURED,320,320,0.0,0,0,0,3,0.9652173913043478,1.0,0.32349912600147945,4,0,159,320,0,-0.017699115044247815,0.0,0.0,0.0,True,80,0,"[""Temporal classifier F1 decreased relative to the unchanged capture.""]",dd78f8e4edee5c8f1058389e131c9e6bca55fd5d8bed4bbf2c02aeb6544b81a3,
F-7,Central raw versus edge summaries,11,PASS,MEASURED,,"Compare serialized payload sizes; this measures software payloads, not RF performance.",1.0,SYNTHETIC_TEST,demo-11,2,61,1.0,0,0,1.0,MEASURED,320,320,0.0,0,0,0,3,1.0,1.0,0.3020098909983062,4,0,159,320,0,0.0,0.0,0.0,0.0,True,0,0,[],189698db0f18a99c92828eb3f258a9e8e92218a1e8ff17775f71be60d11ede9d,
D-1,Six-hour partition,11,PASS,MEASURED,,"Simulate contact loss, preserve recorded queued events, then reconcile.",1.0,SYNTHETIC_TEST,demo-11,2,61,1.0,0,0,1.0,MEASURED,320,320,0.0,0,0,0,3,1.0,1.0,0.24811887400028354,4,0,159,320,0,0.0,0.0,0.0,0.0,True,0,0,[],189698db0f18a99c92828eb3f258a9e8e92218a1e8ff17775f71be60d11ede9d,
D-2,Duplicate replay,11,PASS,MEASURED,,Authenticated store-and-forward accepts each event identity once.,1.0,SYNTHETIC_TEST,demo-11,2,61,1.0,0,0,1.0,MEASURED,320,320,0.0,0,0,0,3,1.0,1.0,0.17716822200054594,4,0,159,320,0,0.0,0.0,0.0,0.0,True,0,0,[],189698db0f18a99c92828eb3f258a9e8e92218a1e8ff17775f71be60d11ede9d,
D-3,Forged authenticator,11,PASS,MEASURED,,Reject a modified record with the original HMAC authenticator.,1.0,SYNTHETIC_TEST,demo-11,2,61,1.0,0,0,1.0,MEASURED,320,320,0.0,0,0,0,3,1.0,1.0,0.1646370879989263,4,0,159,320,0,0.0,0.0,0.0,0.0,True,0,0,[],189698db0f18a99c92828eb3f258a9e8e92218a1e8ff17775f71be60d11ede9d,
D-4,Identity equivocation,11,PASS,MEASURED,,Quarantine conflicting payloads at one identity and sequence.,1.0,SYNTHETIC_TEST,demo-11,2,61,1.0,0,0,1.0,MEASURED,320,320,0.0,0,0,0,3,1.0,1.0,0.15723096800138592,4,0,159,320,0,0.0,0.0,0.0,0.0,True,0,0,[],189698db0f18a99c92828eb3f258a9e8e92218a1e8ff17775f71be60d11ede9d,
D-5,Stale model version,11,PASS,MEASURED,,Quarantine a model version outside the configured allowlist.,1.0,SYNTHETIC_TEST,demo-11,2,61,1.0,0,0,1.0,MEASURED,320,320,0.0,0,0,0,3,1.0,1.0,0.21262992799893254,4,0,159,320,0,0.0,0.0,0.0,0.0,True,0,0,[],189698db0f18a99c92828eb3f258a9e8e92218a1e8ff17775f71be60d11ede9d,
D-6,Poisoned update candidate,11,PASS,MEASURED,,Exercise bounded update validation only; this is not federated training.,1.0,SYNTHETIC_TEST,demo-11,2,61,1.0,0,0,1.0,MEASURED,320,320,0.0,0,0,0,3,1.0,1.0,0.2623619299993152,4,0,159,320,0,0.0,0.0,0.0,0.0,True,0,0,[],189698db0f18a99c92828eb3f258a9e8e92218a1e8ff17775f71be60d11ede9d,
D-7,Gateway interruption,11,PASS,MEASURED,,Queue recorded evidence and resume deterministic reconciliation.,1.0,SYNTHETIC_TEST,demo-11,2,61,1.0,0,0,1.0,MEASURED,320,320,0.0,0,0,0,3,1.0,1.0,0.1407651600002282,4,0,159,320,0,0.0,0.0,0.0,0.0,True,0,0,[],189698db0f18a99c92828eb3f258a9e8e92218a1e8ff17775f71be60d11ede9d,
D-8,90% bandwidth reduction,11,PASS,MEASURED,,Use a simulated byte budget and report additional queue clearance time.,1.0,SYNTHETIC_TEST,demo-11,2,61,1.0,0,0,1.0,MEASURED,320,320,0.0,0,0,0,3,1.0,1.0,0.13338351499987766,4,0,159,320,0,0.0,0.0,0.0,0.0,True,0,0,[],189698db0f18a99c92828eb3f258a9e8e92218a1e8ff17775f71be60d11ede9d,
D-9,Clock spoofing,11,PASS,MEASURED,,Quarantine a record outside the allowed timestamp window.,1.0,SYNTHETIC_TEST,demo-11,2,61,1.0,0,0,1.0,MEASURED,320,320,0.0,0,0,0,3,1.0,1.0,0.12901287199929357,4,0,159,320,0,0.0,0.0,0.0,0.0,True,0,0,[],189698db0f18a99c92828eb3f258a9e8e92218a1e8ff17775f71be60d11ede9d,
D-10,Conflicting sensors,11,PASS,MEASURED,,Preserve counterevidence and show lower independent corroboration.,1.0,SYNTHETIC_TEST,demo-11,2,61,1.0,0,0,1.0,MEASURED,320,320,0.0,0,0,0,3,1.0,1.0,0.2123126879996562,4,0,159,320,0,0.0,0.0,0.0,0.0,True,80,0,[],2af6e30b3dc888f9b369bc94bef59cf6e53493d4e56d86f8242dd0791248dc6d,
M-1,Rate escalation,11,PASS,DEGRADATION_OBSERVED,,Increase injected event prevalence while preserving source mix.,1.0,SYNTHETIC_TEST,demo-11,3,62,0.9256198347107438,0,0,0.8958333333333334,MEASURED,320,320,0.0,0,18,0,3,1.0,0.8615384615384616,0.13248031199873367,4,0,159,320,0,-0.07438016528925617,-0.10416666666666663,-0.1384615384615384,0.0,True,30,30,"[""Temporal classifier F1 decreased relative to the unchanged capture."", ""Recall including abstentions decreased."", ""Link-classification F1 decreased.""]",cbfe9b3e0d10ea542fda065d42becebc62aa79d1e868921e9cda57f2a11425fb,
M-2,Source-role shift,11,PASS,MEASURED,,Move event-bearing sources without changing the sample count.,1.0,SYNTHETIC_TEST,demo-11,2,61,1.0,0,0,1.0,MEASURED,320,320,0.0,0,0,0,3,1.0,1.0,0.15580949099967256,4,0,159,320,0,0.0,0.0,0.0,0.0,True,26,4,[],f73d9bc626d8a0b8327e036d13938fc97edbe873dbc066ca3d1da41ccf1a1027,
M-3,Spatial displacement,11,PASS,DEGRADATION_OBSERVED,,Move the synthetic event footprint; retain coordinate provenance.,1.0,SYNTHETIC_TEST,demo-11,2,61,1.0,0,0,0.8222222222222222,MEASURED,320,320,0.0,0,0,0,3,1.0,1.0,0.1647158710002259,4,0,111,320,0,0.0,-0.1777777777777778,0.0,0.0,True,26,0,"[""Link-classification F1 decreased.""]",5755578819180197fe99136785f4c70724dcf40c8c2fcbce227b3265b17d21d2,
M-4,Periodicity disruption,11,PASS,DEGRADATION_OBSERVED,,Break a background periodic component and inspect response.,1.0,SYNTHETIC_TEST,demo-11,2,62,0.9823008849557522,4,0,0.9814814814814815,MEASURED,320,320,0.0,0,0,0,3,0.9652173913043478,1.0,0.17357614700085833,4,0,165,320,0,-0.017699115044247815,-0.01851851851851849,0.0,0.0,True,320,0,"[""Temporal classifier F1 decreased relative to the unchanged capture."", ""Link-classification F1 decreased.""]",80060dd98e48976b466b7ecb64cc8ca71f37c50e032237941d49e364cd8b55df,
M-5,Coordinated multi-source motif,11,PASS,DEGRADATION_OBSERVED,,Correlate a controlled signal change across independent sources.,1.0,SYNTHETIC_TEST,demo-11,3,90,0.9621993127147767,0,0,0.9185185185185185,MEASURED,320,320,0.0,0,11,0,3,1.0,0.9271523178807947,0.18561186999977508,4,0,186,320,0,-0.037800687285223344,-0.08148148148148149,-0.07284768211920534,0.0,True,40,40,"[""Temporal classifier F1 decreased relative to the unchanged capture."", ""Recall including abstentions decreased."", ""Link-classification F1 decreased.""]",d9d92d3757f48160eb567c72fa7da1630e215475ebfb2cbc7a671f548bbe17a5,
M-6,Source-volume false-positive trap,11,PASS,MEASURED,,Replay copies without introducing a new underlying event.,1.0,SYNTHETIC_TEST,demo-11,2,61,1.0,0,0,1.0,MEASURED,320,320,0.0,0,0,0,3,1.0,1.0,0.13708335900082602,4,0,159,320,0,0.0,0.0,0.0,0.0,True,0,0,[],189698db0f18a99c92828eb3f258a9e8e92218a1e8ff17775f71be60d11ede9d,
clean,Clean coastal replay,17,PASS,MEASURED,,All four tasks on a reproducible synthetic environmental dataset.,1.0,SYNTHETIC_TEST,demo-17,2,61,1.0,0,0,1.0,MEASURED,320,320,0.0,0,0,0,3,1.0,1.0,0.27711293599895725,4,0,159,320,0,0.0,0.0,0.0,0.0,True,0,0,[],39949e43692fef3d28fdf1ddfebd8950837450f3dd07a58cf38b1f72d643189d,
S12-1,Duplicate reporting burst,17,PASS,MEASURED,,Deduplicate identical observations; do not count copies as independent sources.,1.0,SYNTHETIC_TEST,demo-17,2,61,1.0,0,0,1.0,MEASURED,320,320,0.0,0,0,0,3,1.0,1.0,0.13456927500010352,4,0,159,320,0,0.0,0.0,0.0,0.0,True,0,0,[],39949e43692fef3d28fdf1ddfebd8950837450f3dd07a58cf38b1f72d643189d,
S12-2,Clock jitter and ingestion delay,17,PASS,MEASURED,,Preserve observation/ingestion time and report late or uncertain samples.,1.0,SYNTHETIC_TEST,demo-17,2,61,1.0,0,0,1.0,MEASURED,320,320,0.0,0,0,0,3,1.0,1.0,0.3572780069989676,4,0,159,320,0,0.0,0.0,0.0,0.0,True,320,0,[],1ca622cfae9913e95a004c0069f6ff48425f38ce1cb78a7c9a2202fbf3192af3,
S12-3,Ontology remapping,17,PASS,DEGRADATION_OBSERVED,,Flag unknown schema/ontology and exclude unsupported interpretation.,0.85625,SYNTHETIC_TEST,demo-17,2,52,1.0,0,0,0.8089887640449438,MEASURED,320,320,0.0,0,17,0,3,1.0,0.8468468468468469,0.14589395399889327,4,0,108,320,0,0.0,-0.1910112359550562,-0.15315315315315314,-0.14375000000000004,True,46,0,"[""Some observations abstained; eligible-only F1 does not measure full coverage."", ""Recall including abstentions decreased."", ""Link-classification F1 decreased.""]",8cb7cacf10f944c6654c75d67d0b5197bbe3e2647f0e9b9682145cb66f50ebce,
S12-4,Missing geography,17,PASS,DEGRADATION_OBSERVED,,Retain signals while omitting unsupported map points.,1.0,SYNTHETIC_TEST,demo-17,2,61,1.0,0,0,0.5545454545454546,MEASURED,320,213,0.0,0,0,107,3,1.0,1.0,0.11756140699981188,4,0,61,320,0,0.0,-0.44545454545454544,0.0,0.0,True,107,0,"[""Link-classification F1 decreased.""]",103763378b054304d7b5219dc5cc1dc72b618c19108a57e37fa5ae04b3f15c3e,
S12-5,Novel source aliases,17,PASS,MEASURED,,Keep unknown identities separate until an alias mapping is supplied.,1.0,SYNTHETIC_TEST,demo-17,2,74,1.0,0,0,1.0,MEASURED,320,320,0.0,0,0,0,3,1.0,1.0,0.13098360099866113,4,0,159,320,0,0.0,0.0,0.0,0.0,True,80,0,[],c20e99b1077c49a0f3d89769ea4d3d60e57d5e62998486c6888d1f21670c8e79,
S13-1,Same-name entities,17,PASS,MEASURED,,Stable IDs prevent two same-name entities from being merged.,1.0,SYNTHETIC_TEST,demo-17,2,61,1.0,0,0,1.0,MEASURED,320,320,0.0,0,0,0,3,1.0,1.0,0.13514034499894478,4,0,159,320,0,0.0,0.0,0.0,0.0,True,320,0,[],1d68499891ddeebf9d2d79494b0f3e2209dba9b3e2c0a3f9c4b3dd1037dab2b6,
S13-2,Hub-source removal,17,PASS,MEASURED,,Recompute affected links and expose lost evidence.,1.0,SYNTHETIC_TEST,demo-17,2,45,1.0,0,0,1.0,MEASURED,240,240,0.0,0,0,0,3,1.0,1.0,0.11140399999931105,3,0,77,240,0,0.0,0.0,0.0,0.0,True,0,0,[],37ea2f556b2c42386c6c5fab49287da7226413ff793f856cda3da03d8dc5df4e,
S13-3,Relation imbalance,17,PASS,DEGRADATION_OBSERVED,,Retain per-relation counts and disclose a dominant relation.,0.8,SYNTHETIC_TEST,demo-17,2,111,1.0,0,3,1.0,MEASURED,320,320,0.0,0,0,80,0,1.0,1.0,0.1567658099993423,5,0,159,400,0,0.0,0.0,0.0,-0.19999999999999996,True,0,0,"[""Some observations abstained; eligible-only F1 does not measure full coverage."", ""No advisory option passes the declared envelope.""]",fc6b645b4232ba3748e586fc2d4d54286957b72a574818ae0ee8985b2c6e0c51,
S13-4,Inverse-edge leakage trap,17,PASS,INVALID_LINK_EVALUATION,,Audit overlapping/reversed train/test edges; invalidate contaminated evaluation.,1.0,SYNTHETIC_TEST,demo-17,2,61,1.0,0,0,,INVALID_LEAKAGE,320,320,0.0,0,0,0,3,1.0,1.0,0.16014778499993554,4,0,159,320,0,0.0,,0.0,0.0,True,0,0,"[""Link quality is invalidated by the injected split leakage.""]",39949e43692fef3d28fdf1ddfebd8950837450f3dd07a58cf38b1f72d643189d,
S13-5,Type-invalid negatives,17,PASS,MEASURED,,Reject type-invalid inferred edges and report candidate exclusions.,1.0,SYNTHETIC_TEST,demo-17,2,61,1.0,0,0,1.0,MEASURED,320,320,0.0,0,0,0,3,1.0,1.0,0.1273328160004894,4,0,159,320,0,0.0,0.0,0.0,0.0,True,0,0,[],39949e43692fef3d28fdf1ddfebd8950837450f3dd07a58cf38b1f72d643189d,
S8-1,Contradictory constraints,17,PASS,MEASURED,,Return gated or rejected options when the allowed budget is impossible.,1.0,SYNTHETIC_TEST,demo-17,2,61,1.0,0,0,1.0,MEASURED,320,320,0.0,0,0,0,0,1.0,1.0,0.17318548500043107,4,0,159,320,3,0.0,0.0,0.0,0.0,True,0,0,"[""No advisory option passes the declared envelope.""]",39949e43692fef3d28fdf1ddfebd8950837450f3dd07a58cf38b1f72d643189d,
S8-2,Instructions embedded in evidence,17,PASS,MEASURED,,Keep source text as data; the local policy remains unchanged.,1.0,SYNTHETIC_TEST,demo-17,2,61,1.0,0,0,1.0,MEASURED,320,320,0.0,0,0,0,3,1.0,1.0,0.1311101930004952,4,0,159,320,0,0.0,0.0,0.0,0.0,True,16,0,[],be6f7e8c479f6cb843f56f1e8bcdcaaef3bb66d003c7d68e3ae9f3d48f0c0929,
S8-3,Incomplete scenario,17,PASS,MEASURED,,Expose missing goal/resource fields and gate the output.,1.0,SYNTHETIC_TEST,demo-17,2,61,1.0,0,3,1.0,MEASURED,320,320,0.0,0,0,0,0,1.0,1.0,0.17417491400010476,4,0,159,320,0,0.0,0.0,0.0,0.0,True,0,0,"[""No advisory option passes the declared envelope.""]",39949e43692fef3d28fdf1ddfebd8950837450f3dd07a58cf38b1f72d643189d,
S8-4,Proposal mode collapse,17,PASS,MEASURED,,Detect duplicate option envelopes and retain reviewer dissent.,1.0,SYNTHETIC_TEST,demo-17,2,61,1.0,0,2,1.0,MEASURED,320,320,0.0,0,0,0,1,1.0,1.0,0.15947249000055308,4,0,159,320,0,0.0,0.0,0.0,0.0,True,0,0,[],39949e43692fef3d28fdf1ddfebd8950837450f3dd07a58cf38b1f72d643189d,
S14-1,Mixed coordinate systems,17,PASS,DEGRADATION_OBSERVED,,Transform supported EPSG:3857 points or exclude unsupported CRS.,1.0,SYNTHETIC_TEST,demo-17,2,61,1.0,0,0,0.9573770491803278,MEASURED,320,301,0.0,0,0,19,3,1.0,1.0,0.13204753399986657,4,0,146,320,0,0.0,-0.042622950819672156,0.0,0.0,True,79,0,"[""Link-classification F1 decreased.""]",13ab2b025ddf15fc7a42a52c85af7786069c288603252cd805c41a0eafaac380,
S14-2,Stale source layer,17,PASS,MEASURED,,Show source age relative to the replay cutoff and stale status.,1.0,SYNTHETIC_TEST,demo-17,2,74,1.0,0,0,1.0,MEASURED,320,320,0.0,0,0,0,3,1.0,1.0,0.1333205730006739,4,80,77,320,0,0.0,0.0,0.0,0.0,True,80,0,"[""Stale map records are retained with age labels.""]",018847d3675d09350fa9674b17f318c735b13a9bf7575d8b6dff5e9ab8c28504,
S14-3,Dense map labels,17,PASS,MEASURED,,Stable grouping and accessible marker details preserve readability.,1.0,SYNTHETIC_TEST,demo-17,2,61,1.0,0,0,1.0,MEASURED,320,320,0.0,0,0,0,3,1.0,1.0,0.13152888500007975,4,0,159,320,0,0.0,0.0,0.0,0.0,True,240,0,[],074a698d749e33cb87b76b3e06f14771f78426f547f477055ffa7db7bc6be2fb,
F-1,Remove FCI,17,PASS,MEASURED,,Remove bioelectric observations and compare held-out quality and missingness.,1.0,SYNTHETIC_TEST,demo-17,2,61,1.0,0,0,1.0,MEASURED,320,320,0.0,0,0,0,3,1.0,1.0,0.16738231300041662,4,0,159,320,0,0.0,0.0,0.0,0.0,True,320,0,[],d4e551d5693149c133189996cfdf5aca59cb181bd7f3a312a07a6d82a8fc04d9,
F-2,Remove Agaric imagery,17,PASS,MEASURED,,Remove the imagery source and inspect lost supporting paths.,1.0,SYNTHETIC_TEST,demo-17,2,45,1.0,0,0,1.0,MEASURED,240,240,0.0,0,0,0,3,1.0,1.0,0.11574100399957388,3,0,77,240,0,0.0,0.0,0.0,0.0,True,0,0,[],37ea2f556b2c42386c6c5fab49287da7226413ff793f856cda3da03d8dc5df4e,
